date,ticker,log_return,volatility_60,beta_60,momentum_126,revenue_growth,roe,fcf_yield,debt_to_equity,target
2015-05-08,YPF,-0.004302538297454477,0.24691430216076832,1.030966453101294,0.14386646039454581,,,,,0
2015-05-09,YPF,0.0,0.2441379089936163,1.0260595829526293,0.14386646039454581,,,,,0
2015-05-10,YPF,0.0,0.2438720184949328,1.0392212739338804,0.14386646039454581,,,,,0
2015-05-11,YPF,-0.00432106450012438,0.23949657233680224,0.9779913214050302,0.19263435850177116,,,,,0
2015-05-12,YPF,0.027273011507542275,0.24469451375448803,0.928757806701401,0.22314355131420976,,,,,0
2015-05-13,YPF,-0.012394236505783387,0.24652158763027768,0.929959586295423,0.22421081636193144,,,,,0
2015-05-14,YPF,-0.006585495286461291,0.24713857458646793,0.8444532935480875,0.19328325448792957,,,,,0
2015-05-15,YPF,-0.006961716484986041,0.23831961698621193,0.6942937129306949,0.18672244123364037,,,,,0
2015-05-16,YPF,0.0,0.23670684204846348,0.7225922205804776,0.18672244123364037,,,,,0
2015-05-17,YPF,0.0,0.2301246076267007,0.6014484391757918,0.18672244123364037,,,,,0
2015-05-18,YPF,-0.012721915525117863,0.2311924671538973,0.563470905202827,0.2377374010436939,,,,,0
2015-05-19,YPF,-0.014251976000443617,0.22470437211286043,0.440786617509856,0.23855571414028615,,,,,0
2015-05-20,YPF,-0.005139707878047834,0.22493507461054876,0.44326291078582575,0.19971699272421503,,,,,0
2015-05-21,YPF,-0.015928410142125413,0.22721656311224067,0.4166467487522734,0.21878994585109557,,,,,0
2015-05-22,YPF,-0.0013970726672380516,0.222375654940967,0.3884816702430183,0.18239150991485162,,,,,0
2015-05-23,YPF,0.0,0.21892719414038328,0.3291698251819274,0.18239150991485162,,,,,0
2015-05-24,YPF,0.0,0.2170138759443789,0.5320909319927993,0.18239150991485162,,,,,0
2015-05-25,YPF,0.0,0.20739285628827303,0.4702451146273683,0.18239150991485162,,,,,0
2015-05-26,YPF,-0.03630288222811108,0.2206335246947836,0.6992152189046411,0.16814211052870381,,,,,0
2015-05-27,YPF,0.0010868174030075866,0.2206485588982998,0.6715817346034835,0.14591769755584086,,,,,0
2015-05-28,YPF,-0.004354231326734176,0.22081527381376428,0.6748998990169597,0.1098148711265218,,,,,0
2015-05-29,YPF,0.009770316183273635,0.2214368809968666,0.6278103745170439,0.1347152226548748,,,,,0
2015-05-30,YPF,0.0,0.2168755255725086,0.5276868498616679,0.1347152226548748,,,,,0
2015-05-31,YPF,0.0,0.2097763994389821,0.606876539893864,0.1347152226548748,,,,,0
2015-06-01,YPF,0.0010797057703586614,0.20975665260515072,0.615774849490826,0.1407516683403109,,,,,0
2015-06-02,YPF,0.02872027419820539,0.21796901897380633,0.586928664728664,0.13288247458098176,,,,,0
2015-06-03,YPF,-0.019411219866754828,0.2216749735716154,0.5544305104941365,0.17352213379281178,,,,,0
2015-06-04,YPF,0.018362098515552656,0.22486086238608008,0.41854491475651506,0.21721298535674594,,,,,0
2015-06-05,YPF,0.005930634511771069,0.20706587711595267,0.23247794577322745,0.20376724589407952,,,,,0
2015-06-06,YPF,0.0,0.20328559400126892,0.27055458546318656,0.20376724589407952,,,,,0
2015-06-07,YPF,0.0,0.20319161165838165,0.279124594613565,0.20376724589407952,,,,,0
2015-06-08,YPF,-0.004881513160568842,0.1945384516765875,0.2073918695413352,0.18617377411584002,,,,,0
