Ticker            BTC-USD        MSFT         SPY
Date                                             
2018-01-01   13657.200195         NaN         NaN
2018-01-02   14982.099609   78.870361  237.208191
2018-01-03   15201.000000   79.237419  238.708588
2018-01-04   15599.200195   79.934807  239.714722
2018-01-05   17429.500000   80.925850  241.312210
2018-01-06   17527.000000         NaN         NaN
2018-01-07   16477.599609         NaN         NaN
2018-01-08   15170.099609   81.008446  241.753418
2018-01-09   14595.400391   80.953362  242.300674
2018-01-10   14973.299805   80.586342  241.929962
2018-01-11   13405.799805   80.824905  243.695160
2018-01-12   13980.599609   82.219727  245.283722
2018-01-13   14360.200195         NaN         NaN
2018-01-14   13772.000000         NaN         NaN
2018-01-15   13819.799805         NaN         NaN
2018-01-16   11490.500000   81.072701  244.445358
2018-01-17   11188.599609   82.715225  246.775177
2018-01-18   11474.900391   82.678528  246.360397
2018-01-19   11607.400391   82.586777  247.481354
2018-01-20   12899.200195         NaN         NaN
2018-01-21   11600.099609         NaN         NaN
2018-01-22   10931.400391   84.064171  249.493591
2018-01-23   10868.400391   84.330261  250.023056
2018-01-24   11359.400391   84.256851  249.925995
2018-01-25   11259.400391   84.724861  250.031860
2018-01-26   11171.400391   86.312347  252.926727
2018-01-27   11440.700195         NaN         NaN
2018-01-28   11786.299805         NaN         NaN
2018-01-29   11296.400391   86.183876  251.249908
2018-01-30   10106.299805   85.101082  248.672775
2018-01-31   10221.099609   87.184097  248.796356
2018-02-01    9170.540039   86.495880  248.513901
2018-02-02    8830.750000   84.220161  243.103760
2018-02-03    9174.910156         NaN         NaN
2018-02-04    8277.009766         NaN         NaN
2018-02-05    6955.270020   80.751503  232.936554
2018-02-06    7754.000000   83.807198  237.525955
2018-02-07    7621.299805   82.228882  236.237381
2018-02-08    8265.589844   78.007790  227.376373
2018-02-09    8736.980469   80.916672  230.791931
2018-02-10    8621.900391         NaN         NaN
2018-02-11    8129.970215         NaN         NaN
2018-02-12    8926.570312   81.788429  234.181000
2018-02-13    8598.309570   82.430763  234.763519
2018-02-14    9494.629883   83.721474  237.931961
2018-02-15   10166.400391   85.427086  240.967957
2018-02-16   10233.900391   84.818573  241.038544
2018-02-17   11112.700195         NaN         NaN
2018-02-18   10551.799805         NaN         NaN
2018-02-19   11225.299805         NaN         NaN
2018-02-20   11403.700195   85.482399  239.529358
2018-02-21   10690.400391   84.348434  238.337921
2018-02-22   10005.000000   84.569679  238.646774
2018-02-23   10301.099609   86.717804  242.450714
2018-02-24    9813.070312         NaN         NaN
2018-02-25    9664.730469         NaN         NaN
2018-02-26   10366.700195   87.971619  245.266068
2018-02-27   10725.599609   86.846878  242.203568
2018-02-28   10397.900391   86.450447  239.750031
2018-03-01   10951.000000   85.602249  236.263824
2018-03-02   11086.400391   85.786659  237.481796
2018-03-03   11489.700195         NaN         NaN
2018-03-04   11512.599609         NaN         NaN
2018-03-05   11573.299805   86.330582  240.226608
2018-03-06   10779.900391   86.035553  240.835571
2018-03-07    9965.570312   86.533424  240.747330
2018-03-08    9395.009766   87.058914  241.912354
2018-03-09    9337.549805   89.004204  246.122269
2018-03-10    8866.000000         NaN         NaN
2018-03-11    9578.629883         NaN         NaN
2018-03-12    9205.120117   89.216248  245.813187
2018-03-13    9194.849609   87.040489  244.224609
2018-03-14    8269.809570   86.524178  242.971390
2018-03-15    8300.860352   86.828423  242.706665
2018-03-16    8338.349609   87.215645  242.969940
2018-03-17    7916.879883         NaN         NaN
2018-03-18    8223.679688         NaN         NaN
2018-03-19    8630.650391   85.639137  239.682373
2018-03-20    8913.469727   85.860397  240.089951
2018-03-21    8929.280273   85.261124  239.629242
2018-03-22    8728.469727   82.781097  233.639160
2018-03-23    8879.620117   80.374840  228.659225
2018-03-24    8668.120117         NaN         NaN
2018-03-25    8495.780273         NaN         NaN
2018-03-26    8209.400391   86.459671  234.915054
2018-03-27    7833.040039   82.486092  230.918777
2018-03-28    7954.479980   82.412331  230.236465
2018-03-29    7165.700195   84.145554  233.178314
2018-03-30    6890.520020         NaN         NaN
2018-03-31    6973.529785         NaN         NaN
2018-04-01    6844.229980         NaN         NaN
2018-04-02    7083.799805   81.610252  228.145248
2018-04-03    7456.109863   82.707344  231.069443
2018-04-04    6853.839844   85.122849  233.541626
2018-04-05    6811.470215   85.168930  235.384750
2018-04-06    6636.319824   83.186760  230.139023
2018-04-07    6911.089844         NaN         NaN
2018-04-08    7023.520020         NaN         NaN
2018-04-09    6770.729980   83.684616  231.273209
2018-04-10    6834.759766   85.629921  234.950592
2018-04-11    6968.319824   84.689529  233.718933
2018-04-12    7889.250000   86.275253  235.641693
2018-04-13    7895.959961   85.814308  234.950592
2018-04-14    7986.240234         NaN         NaN
2018-04-15    8329.110352         NaN         NaN
2018-04-16    8058.669922   86.819214  236.882309
2018-04-17    7902.089844   88.570900  239.416473
2018-04-18    8163.419922   88.912025  239.593719
2018-04-19    8294.309570   88.607765  238.264618
2018-04-20    8845.830078   87.584427  236.244263
2018-04-21    8895.580078         NaN         NaN
2018-04-22    8802.459961         NaN         NaN
2018-04-23    8930.879883   87.907112  236.208801
2018-04-24    9697.500000   85.851151  233.027725
2018-04-25    8845.740234   85.104408  233.603699
2018-04-26    9281.509766   86.902184  235.978470
2018-04-27    8987.049805   88.340424  236.200012
2018-04-28    9348.480469         NaN         NaN
2018-04-29    9419.080078         NaN         NaN
2018-04-30    9240.549805   86.219933  234.383484
2018-05-01    9119.009766   87.584427  234.799911
2018-05-02    9235.919922   86.210709  233.222626
2018-05-03    9743.860352   86.727020  232.708725
2018-05-04    9700.759766   87.731934  235.721497
2018-05-05    9858.150391         NaN         NaN
2018-05-06    9654.799805         NaN         NaN
2018-05-07    9373.009766   88.709183  236.518967
2018-05-08    9234.820312   88.331192  236.518967
2018-05-09    9325.179688   89.372993  238.805054
2018-05-10    9043.940430   90.267288  241.038132
2018-05-11    8441.490234   90.073662  241.773560
2018-05-12    8504.889648         NaN         NaN
2018-05-13    8723.940430         NaN         NaN
2018-05-14    8716.790039   90.377899  241.888779
2018-05-15    8510.379883   89.723335  240.222900
2018-05-16    8368.830078   89.954819  241.233047
2018-05-17    8094.319824   89.056641  241.029251
2018-05-18    8250.969727   89.223320  240.426697
2018-05-19    8247.179688         NaN         NaN
2018-05-20    8513.250000         NaN         NaN
2018-05-21    8418.990234   90.371475  242.234314
2018-05-22    8041.779785   90.278923  241.560898
2018-05-23    7557.819824   91.352989  242.225494
2018-05-24    7587.339844   91.028900  241.729233
2018-05-25    7480.140137   91.075188  241.153259
2018-05-26    7355.879883         NaN         NaN
2018-05-27    7368.220215         NaN         NaN
2018-05-28    7135.990234         NaN         NaN
2018-05-29    7472.589844   90.751122  238.379822
2018-05-30    7406.520020   91.621506  241.560898
2018-05-31    7494.169922   91.519669  240.081085
2018-06-01    7541.450195   93.325226  242.438156
2018-06-02    7643.450195         NaN         NaN
2018-06-03    7720.250000         NaN         NaN
2018-06-04    7514.470215   94.140060  243.590073
2018-06-05    7633.759766   94.621552  243.767303
2018-06-06    7653.979980   94.899345  245.805344
2018-06-07    7678.240234   93.408546  245.778671
2018-06-08    7624.919922   94.103004  246.505371
2018-06-09    7531.979980         NaN         NaN
2018-06-10    6786.020020         NaN         NaN
2018-06-11    6906.919922   93.565971  246.833206
2018-06-12    6582.359863   93.806717  247.152283
2018-06-13    6349.899902   93.380753  246.363602
2018-06-14    6675.350098   93.908569  246.983932
2018-06-15    6456.580078   92.714096  246.668762
2018-06-16    6550.160156         NaN         NaN
2018-06-17    6499.270020         NaN         NaN
2018-06-18    6734.819824   93.390030  246.161392
2018-06-19    6769.939941   93.390030  245.217911
2018-06-20    6776.549805   94.325218  245.636292
2018-06-21    6729.740234   93.649292  244.096451
2018-06-22    6083.689941   92.973373  244.541473
2018-06-23    6162.479980         NaN         NaN
2018-06-24    6173.229980         NaN         NaN
2018-06-25    6249.180176   91.102959  241.212524
2018-06-26    6093.669922   91.741867  241.746643
2018-06-27    6157.129883   90.315918  239.743927
2018-06-28    5903.439941   91.325195  241.114746
2018-06-29    6218.299805   91.306671  241.461792
2018-06-30    6404.000000         NaN         NaN
2018-07-01    6385.819824         NaN         NaN
2018-07-02    6614.180176   92.602974  241.978043
2018-07-03    6529.589844   91.714111  241.123566
2018-07-04    6597.549805         NaN         NaN
2018-07-05    6639.140137   92.371506  243.090607
2018-07-06    6673.500000   93.667809  245.146744
2018-07-07    6856.930176         NaN         NaN
2018-07-08    6773.879883         NaN         NaN
2018-07-09    6741.750000   94.306732  247.354126
2018-07-10    6329.950195   94.556747  248.244278
2018-07-11    6394.709961   94.427086  246.428513
2018-07-12    6228.810059   96.473419  248.662628
2018-07-13    6238.049805   97.621559  248.858353
2018-07-14    6276.120117         NaN         NaN
2018-07-15    6359.640137         NaN         NaN
2018-07-16    6741.750000   97.140091  248.635849
2018-07-17    7321.040039   98.103050  249.641602
2018-07-18    7370.779785   97.334526  250.166840
2018-07-19    7466.859863   96.667831  249.223312
2018-07-20    7354.129883   98.399345  248.938522
2018-07-21    7419.290039         NaN         NaN
2018-07-22    7418.490234         NaN         NaN
2018-07-23    7711.109863   99.973450  249.401352
2018-07-24    8424.269531   99.686424  250.656387
2018-07-25    8181.390137  102.621651  252.792572
2018-07-26    7951.580078  101.501266  252.196167
2018-07-27    8165.009766   99.704903  250.487244
2018-07-28    8192.150391         NaN         NaN
2018-07-29    8218.459961         NaN         NaN
2018-07-30    8180.479980   97.566025  249.178848
2018-07-31    7780.439941   98.223427  250.407104
2018-08-01    7624.910156   98.408600  249.988800
2018-08-02    7567.149902   99.603088  251.350571
2018-08-03    7434.390137  100.038269  252.427582
2018-08-04    7032.850098         NaN         NaN
2018-08-05    7068.479980         NaN         NaN
2018-08-06    6951.799805  100.121613  253.353317
2018-08-07    6753.120117  100.816055  254.189896
2018-08-08    6305.799805  101.380890  254.083176
2018-08-09    6568.229980  101.547539  253.736038
2018-08-10    6184.709961  100.927177  252.035889
2018-08-11    6295.729980         NaN         NaN
2018-08-12    6322.689941         NaN         NaN
2018-08-13    6297.569824  100.195648  251.092484
2018-08-14    6199.709961  101.445694  252.694550
2018-08-15    6308.520020  100.070038  250.807693
2018-08-16    6334.729980  100.051422  252.837051
2018-08-17    6580.629883   99.995674  253.727158
2018-08-18    6423.759766         NaN         NaN
2018-08-19    6506.069824         NaN         NaN
2018-08-20    6308.529785   99.335724  254.270096
2018-08-21    6488.759766   98.508492  254.866486
2018-08-22    6376.709961   99.512337  254.715118
2018-08-23    6534.879883   99.977081  254.376907
2018-08-24    6719.959961  100.757866  255.907791
2018-08-25    6763.189941         NaN         NaN
2018-08-26    6707.259766         NaN         NaN
2018-08-27    6884.640137  101.873283  257.928314
2018-08-28    7096.279785  102.486732  258.052979
2018-08-29    7047.160156  104.122643  259.441467
2018-08-30    6978.229980  104.057587  258.391205
2018-08-31    7037.580078  104.410820  258.400085
2018-09-01    7193.250000         NaN         NaN
2018-09-02    7272.720215         NaN         NaN
2018-09-03    7260.060059         NaN         NaN
2018-09-04    7361.660156  103.834503  257.955078
2018-09-05    6792.830078  100.841507  257.260651
2018-09-06    6529.169922  101.073883  256.486359
2018-09-07    6467.069824  100.581245  255.987976
2018-09-08    6225.979980         NaN         NaN
2018-09-09    6300.859863         NaN         NaN
2018-09-10    6329.700195  101.668770  256.433014
2018-09-11    6321.200195  103.397667  257.278625
2018-09-12    6351.799805  103.834503  257.340912
2018-09-13    6517.310059  104.949921  258.862854
2018-09-14    6512.709961  105.377495  258.907410
2018-09-15    6543.200195         NaN         NaN
2018-09-16    6517.180176         NaN         NaN
2018-09-17    6281.200195  104.234200  257.536652
2018-09-18    6371.299805  105.228783  258.934113
2018-09-19    6398.540039  103.825195  259.210114
2018-09-20    6519.669922  105.563377  261.310516
2018-09-21    6734.950195  106.204727  261.071838
2018-09-22    6721.979980         NaN         NaN
2018-09-23    6710.629883         NaN         NaN
2018-09-24    6595.410156  106.585831  260.204620
2018-09-25    6446.470215  106.381340  259.963287
2018-09-26    6495.000000  105.944496  259.185333
2018-09-27    6676.750000  106.344162  259.909515
2018-09-28    6644.129883  106.306984  259.936371
2018-09-29    6601.959961         NaN         NaN
2018-09-30    6625.560059         NaN         NaN
2018-10-01    6589.620117  107.459572  260.839447
2018-10-02    6556.100098  107.031990  260.687378
2018-10-03    6502.589844  107.050583  260.830536
2018-10-04    6576.689941  104.838379  258.791962
2018-10-05    6622.479980  104.224899  257.343506
2018-10-06    6588.310059         NaN         NaN
2018-10-07    6602.950195         NaN         NaN
2018-10-08    6652.229980  103.035141  257.343506
2018-10-09    6642.640137  104.345741  256.967896
2018-10-10    6585.529785   98.675781  248.831558
2018-10-11    6256.240234   98.443405  243.350601
2018-10-12    6274.580078  101.845383  246.730392
2018-10-13    6285.990234         NaN         NaN
2018-10-14    6290.930176         NaN         NaN
2018-10-15    6596.540039  100.014275  245.344498
2018-10-16    6596.109863  103.174561  250.709167
2018-10-17    6544.430176  102.905006  250.753876
2018-10-18    6476.709961  100.850815  247.132736
2018-10-19    6465.410156  100.999535  246.998642
2018-10-20    6489.189941         NaN         NaN
2018-10-21    6482.350098         NaN         NaN
2018-10-22    6487.160156  101.901154  245.889923
2018-10-23    6475.740234  100.479034  244.638077
2018-10-24    6495.839844   95.106522  237.225952
2018-10-25    6476.290039  100.664932  241.481949
2018-10-26    6474.750000   99.419388  237.234833
2018-10-27    6480.379883         NaN         NaN
2018-10-28    6486.390137         NaN         NaN
2018-10-29    6332.629883   96.528641  235.920517
2018-10-30    6334.270020   96.417091  239.416473
2018-10-31    6317.609863   99.279968  241.973679
2018-11-01    6377.779785   98.452713  244.548798
2018-11-02    6388.439941   98.675781  243.100250
2018-11-03    6361.259766         NaN         NaN
2018-11-04    6376.129883         NaN         NaN
2018-11-05    6419.660156   99.930618  244.441452
2018-11-06    6461.009766  100.125801  245.988205
2018-11-07    6530.140137  104.066879  251.254562
2018-11-08    6453.720215  103.871704  250.798523
2018-11-09    6385.620117  101.845383  248.348709
2018-11-10    6409.220215         NaN         NaN
2018-11-11    6411.270020         NaN         NaN
2018-11-12    6371.270020   99.335724  243.708267
