Date,AAPL,AMZN,BAC,DIS,GOLD,HD,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,SPY,TSLA,UNH,V,WLM,XOM
2015-01-02,24.214893341064453,15.425999641418457,14.203645706176758,85.3659439086914,3.550121545791626,79.90190887451172,46.511131286621094,29.78339958190918,79.98551940917969,77.90579223632812,39.767696380615234,0.48301151394844055,18.381013870239258,66.04940032958984,170.58963012695312,14.620667457580566,84.48046112060547,61.21473693847656,,57.53342056274414
2015-01-05,23.53272247314453,15.10949993133545,13.791020393371582,84.11845397949219,3.550121545791626,78.22553253173828,45.067203521728516,29.78339958190918,77.7357177734375,76.654541015625,39.4019775390625,0.4748532474040985,18.281267166137695,65.73538208007812,167.50880432128906,14.005999565124512,83.0889663696289,59.863502502441406,,55.95921325683594
2015-01-06,23.534942626953125,14.76449966430664,13.37840461730957,83.67227172851562,3.421931743621826,77.98605346679688,43.89865493774414,30.00957679748535,77.56765747070312,75.62176513671875,38.823673248291016,0.460456520318985,18.433815002441406,65.43589782714844,165.93109130859375,14.085332870483398,82.92127990722656,59.47776412963867,,55.66172790527344
2015-01-07,23.864948272705078,14.920999526977539,13.441885948181152,84.52821350097656,3.542998790740967,80.65898895263672,43.965633392333984,30.384170532226562,78.77425384521484,75.62176513671875,39.31694793701172,0.4592568278312683,18.686092376708984,65.7791748046875,167.9987335205078,14.063332557678223,83.76795959472656,60.274662017822266,,56.2257080078125
2015-01-08,24.78189468383789,15.02299976348877,13.719608306884766,85.40237426757812,3.468221426010132,82.44349670410156,44.948116302490234,30.751686096191406,79.9995346069336,77.63768768310547,40.473567962646484,0.47653284668922424,19.067441940307617,66.5313949584961,170.9798583984375,14.041333198547363,87.76647186279297,61.08308792114258,,57.161563873291016
2015-01-09,24.808469772338867,14.846500396728516,13.473627090454102,85.82123565673828,3.4575388431549072,81.02980041503906,44.16659927368164,30.412439346313477,78.9800033569336,77.20074462890625,40.13338851928711,0.4784523546695709,19.155441284179688,65.9106216430664,169.6097412109375,13.77733325958252,86.94497680664062,60.17764663696289,,57.080989837646484
2015-01-12,24.197172164916992,14.570500373840332,13.235575675964355,86.012451171875,3.48958683013916,80.66667938232422,43.78700637817383,30.13678741455078,77.9698715209961,76.18782043457031,39.63161849975586,0.4724538326263428,19.22584342956543,65.66963195800781,168.28114318847656,13.480667114257812,85.9642333984375,60.05984878540039,,55.984004974365234
2015-01-13,24.41201400756836,14.737000465393066,13.053071022033691,86.67718505859375,3.503830909729004,80.1336441040039,43.79444885253906,30.129724502563477,78.14757537841797,75.91967010498047,39.4275016784668,0.471733957529068,19.032238006591797,65.94713592529297,167.80780029296875,13.616666793823242,86.40010070800781,60.235382080078125,,55.77946090698242
2015-01-14,24.318986892700195,14.66349983215332,12.72773551940918,85.80302429199219,3.5180726051330566,79.29161071777344,42.28352737426758,30.08026123046875,78.06339263916016,75.75086212158203,39.08731460571289,0.47365349531173706,19.055707931518555,65.72071838378906,166.794677734375,12.845999717712402,86.61808013916016,59.0296745300293,,55.618324279785156
2015-01-15,23.658967971801758,14.34749984741211,12.061195373535156,85.91228485107422,3.4254915714263916,78.03240966796875,40.92890548706055,29.95302963256836,76.93163299560547,73.53633117675781,38.67909240722656,0.470294326543808,19.00877571105957,65.62580108642578,165.2667236328125,12.791333198547363,87.56529235839844,58.46837615966797,,55.1348991394043
2015-01-16,23.475135803222656,14.536999702453613,12.204023361206055,86.66804504394531,3.4504177570343018,80.4349594116211,41.6285285949707,30.059040069580078,78.38141632080078,74.65849304199219,39.32545852661133,0.47893238067626953,19.243450164794922,66.64093017578125,167.43409729003906,12.871333122253418,88.6634521484375,58.88875198364258,,56.47361373901367
2015-01-20,24.079790115356445,14.472000122070312,12.108806610107422,86.26738739013672,3.477123975753784,79.76287078857422,41.46480178833008,30.504314422607422,78.81166076660156,75.71112823486328,39.45301055908203,0.48037195205688477,19.419458389282227,66.59712982177734,167.7911834716797,12.795332908630371,88.5376968383789,59.325321197509766,,56.455020904541016
2015-01-21,24.263620376586914,14.862500190734863,12.227828979492188,85.74837493896484,3.525195598602295,79.97914123535156,41.59877395629883,30.64566993713379,78.30659484863281,76.20767211914062,39.053306579589844,0.4870905876159668,19.149578094482422,66.73243713378906,168.63821411132812,13.104666709899902,91.63927459716797,59.426944732666016,,56.938453674316406
2015-01-22,24.89484405517578,15.515999794006348,12.76740837097168,86.6407470703125,3.5002684593200684,81.94136810302734,42.86407470703125,30.94251251220703,78.92389678955078,77.1113510131836,40.08235549926758,0.49548861384391785,19.249319076538086,67.38706970214844,171.14601135253906,13.441332817077637,95.4366226196289,59.500858306884766,,57.55820846557617
2015-01-23,25.0233154296875,15.619500160217285,12.481751441955566,86.24919891357422,3.5002684593200684,81.40056610107422,42.186763763427734,30.61033821105957,78.9332504272461,77.29010772705078,40.1248893737793,0.49692830443382263,19.038108825683594,66.25437927246094,170.2076416015625,13.419333457946777,93.8858413696289,59.66023635864258,,56.33106231689453
2015-01-26,25.049890518188477,15.482999801635742,12.576970100402832,86.47683715820312,3.5928497314453125,82.16539001464844,42.253761291503906,30.391237258911133,78.19432830810547,76.96238708496094,39.98030471801758,0.494768887758255,19.243450164794922,65.88662719726562,170.606201171875,13.770000457763672,93.55890655517578,59.25370788574219,,56.87028121948242
