date,ticker,log_return,volatility_60,beta_60,momentum_126,revenue_growth,roe,fcf_yield,debt_to_equity,target,future_return,benchmark_forward,alpha
2015-07-06,YPF,-0.018403204175952204,0.2537578393908289,0.4111552046509357,0.03055095937267118,,,,,0,-0.5437214933597339,-0.053180288422611105,-0.4905412049371227
2015-07-07,YPF,-0.02634694211297285,0.24955446251420813,0.27645019002027543,0.05729305535292338,,,,,0,-0.4531979621969909,-0.04181110883180633,-0.41138685336518455
2015-07-08,YPF,-0.03492789922843601,0.25781291979707427,0.4482719645065236,0.0256014172890383,,,,,0,-0.3517346062219019,-0.028323487748530253,-0.3234111184733716
2015-07-09,YPF,-0.002372528426511757,0.25776583279312754,0.45148531786921464,0.03669022961442964,,,,,0,-0.2717109565990253,-0.021973759469218535,-0.24973719712980674
2015-07-10,YPF,0.01765783780119652,0.2605052744451755,0.5393061494013293,0.03000608177003303,,,,,0,-0.26664056057878327,-0.025500652241434073,-0.2411399083373492
2015-07-13,YPF,-0.012130720612899366,0.2610573964127282,0.48417915389270727,0.018276185360714254,,,,,0,-0.2683953770514925,-0.03588109293522317,-0.23251428411626934
2015-07-14,YPF,0.03747791014546841,0.26998796828076427,0.4712939713587221,0.11949104986847016,,,,,0,-0.33743830486068543,-0.03926673641549928,-0.29817156844518616
2015-07-15,YPF,-0.016440940101109858,0.2693027303194831,0.5412618552493315,0.1181203988643963,,,,,0,-0.3669320934659732,-0.04525631226157621,-0.321675781204397
2015-07-16,YPF,-0.012412930345013175,0.2685864567072292,0.4952441677745685,0.07200837230785427,,,,,0,-0.35060966102956787,-0.05805415213924697,-0.2925555088903209
2015-07-17,YPF,0.0027285827788729794,0.26161085691109653,0.45127759465770945,0.10973831541081033,,,,,0,-0.36454936616503164,-0.04366360178134399,-0.32088576438368765
2015-07-20,YPF,-0.04376192525400774,0.27338962812908696,0.43638747470895367,0.03097502983271947,,,,,0,-0.32022366880247893,-0.039644554925321436,-0.2805791138771575
